A,W,MT,ID
512,32,1290,4
512,32,1190,4
512,32,841,4
512,32,1240,4
512,32,856,4
512,32,2317,4
512,32,920,4
512,32,890,4
512,32,848,4
512,64,828,3
512,64,1123,3
512,64,688,3
512,64,784,3
512,64,785,3
512,64,763,3
512,64,1099,3
512,64,890,3
512,64,1084,3
256,32,883,3
256,32,827,3
256,32,757,3
256,32,762,3
256,32,892,3
256,32,1104,3
256,32,864,3
256,32,927,3
256,32,814,3
128,64,934,2
128,64,564,2
128,64,548,2
128,64,514,2
128,64,506,2
128,64,483,2
128,64,528,2
128,64,485,2
128,64,498,2
256,16,877,4
256,16,1041,4
256,16,820,4
256,16,985,4
256,16,1155,4
256,16,864,4
256,16,798,4
256,16,855,4
256,16,899,4
512,16,1077,5
512,16,1055,5
512,16,1056,5
512,16,1204,5
512,16,948,5
512,16,1084,5
512,16,1298,5
512,16,1169,5
512,16,1390,5
256,64,835,2
256,64,961,2
256,64,914,2
256,64,806,2
256,64,777,2
256,64,770,2
256,64,706,2
256,64,684,2
256,64,699,2
128,32,820,2
128,32,706,2
128,32,784,2
128,32,670,2
128,32,670,2
128,32,708,2
128,32,648,2
128,32,827,2
128,32,477,2
128,16,769,3
128,16,1105,3
128,16,941,3
128,16,912,3
128,16,870,3
128,16,920,3
128,16,778,3
128,16,912,3
128,16,1198,3
512,64,1097,3
512,64,834,3
512,64,933,3
512,64,785,3
512,64,1518,3
512,64,828,3
512,64,777,3
512,64,969,3
512,64,969,3
128,32,1100,2
128,32,940,2
128,32,699,2
128,32,806,2
128,32,649,2
128,32,720,2
128,32,656,2
128,32,669,2
128,32,607,2
512,16,2131,5
512,16,2438,5
512,16,1647,5
512,16,1333,5
512,16,1464,5
512,16,1382,5
512,16,991,5
512,16,1355,5
512,16,1611,5
128,64,591,2
128,64,635,2
128,64,599,2
128,64,614,2
128,64,577,2
128,64,670,2
128,64,628,2
128,64,677,2
128,64,679,2
256,32,1055,3
256,32,1206,3
256,32,1190,3
256,32,999,3
256,32,985,3
256,32,1182,3
256,32,921,3
256,32,1140,3
256,32,927,3
512,32,1284,4
512,32,1026,4
512,32,1149,4
512,32,1084,4
512,32,1233,4
512,32,1020,4
512,32,1120,4
512,32,1319,4
512,32,1212,4
128,16,1105,3
128,16,1056,3
128,16,1019,3
128,16,885,3
128,16,1283,3
128,16,942,3
128,16,1055,3
128,16,1041,3
128,16,1077,3
256,64,877,2
256,64,670,2
256,64,757,2
256,64,776,2
256,64,756,2
256,64,749,2
256,64,692,2
256,64,563,2
256,64,999,2
256,16,1098,4
256,16,1219,4
256,16,1399,4
256,16,1240,4
256,16,1262,4
256,16,1099,4
256,16,1170,4
256,16,1733,4
256,16,2140,4
128,16,1011,3
128,16,920,3
128,16,1013,3
128,16,1504,3
128,16,1834,3
128,16,1362,3
128,16,1163,3
128,16,1240,3
128,16,1084,3
512,32,1333,4
512,32,1632,4
512,32,1269,4
512,32,1548,4
512,32,1134,4
512,32,1283,4
512,32,1305,4
512,32,1698,4
512,32,1218,4
512,16,1376,5
512,16,2696,5
512,16,2053,5
512,16,2326,5
512,16,2156,5
512,16,2123,5
512,16,2154,5
512,16,2110,5
512,16,2011,5
256,64,1884,2
256,64,1568,2
256,64,1206,2
256,64,1910,2
256,64,1026,2
256,64,1042,2
256,64,1041,2
256,64,1048,2
256,64,1127,2
128,64,864,2
128,64,984,2
128,64,800,2
128,64,839,2
128,64,835,2
128,64,806,2
128,64,805,2
128,64,756,2
128,64,792,2
256,32,1063,3
256,32,1533,3
256,32,1270,3
256,32,1119,3
256,32,1212,3
256,32,1191,3
256,32,999,3
256,32,1012,3
256,32,1547,3
128,32,1433,2
128,32,2411,2
128,32,1076,2
128,32,1601,2
128,32,1016,2
128,32,1562,2
128,32,1227,2
128,32,1233,2
128,32,3367,2
512,64,1411,3
512,64,1212,3
512,64,1269,3
512,64,1076,3
512,64,1697,3
512,64,1119,3
512,64,1227,3
512,64,1126,3
512,64,1112,3
256,16,3964,4
256,16,1662,4
256,16,1178,4
256,16,1218,4
256,16,1312,4
256,16,992,4
256,16,1033,4
256,16,1925,4
256,16,1741,4
256,50,726,3
256,50,799,3
256,50,741,3
256,50,835,3
256,50,784,3
256,50,735,3
256,50,770,3
256,50,855,3
256,50,769,3
256,64,791,2
256,64,764,2
256,64,684,2
256,64,771,2
256,64,812,2
256,64,664,2
256,64,870,2
256,64,777,2
256,64,792,2
128,50,619,2
128,50,650,2
128,50,670,2
128,50,677,2
128,50,678,2
128,50,634,2
128,50,621,2
128,50,642,2
128,50,677,2
512,8,2063,6
512,8,1340,6
512,8,1007,6
512,8,1104,6
512,8,920,6
512,8,1362,6
512,8,1469,6
512,8,1127,6
512,8,1226,6
256,8,1034,5
256,8,1469,5
256,8,1269,5
256,8,1256,5
256,8,1946,5
256,8,1013,5
256,8,1305,5
256,8,1262,5
256,8,1134,5
128,64,520,2
128,64,542,2
128,64,535,2
128,64,563,2
128,64,628,2
128,64,605,2
128,64,664,2
128,64,570,2
128,64,571,2
128,16,799,3
128,16,870,3
128,16,1220,3
128,16,819,3
128,16,835,3
128,16,948,3
128,16,885,3
128,16,1090,3
128,16,927,3
32,4,2361,3
32,4,1790,3
32,4,1525,3
32,4,1277,3
32,4,1347,3
32,4,942,3
32,4,1397,3
32,4,942,3
32,4,970,3
512,64,1427,3
512,64,991,3
512,64,913,3
512,64,853,3
512,64,829,3
512,64,828,3
512,64,912,3
512,64,920,3
512,64,1091,3
64,32,612,2
64,32,500,2
64,32,563,2
64,32,635,2
64,32,585,2
64,32,527,2
64,32,627,2
64,32,613,2
64,32,571,2
64,50,548,1
64,50,585,1
64,50,586,1
64,50,541,1
64,50,556,1
64,50,571,1
64,50,570,1
64,50,521,1
64,50,570,1
64,4,1762,4
64,4,1440,4
64,4,1512,4
64,4,1171,4
64,4,1860,4
64,4,1340,4
64,4,1134,4
64,4,1126,4
64,4,1476,4
64,8,1406,3
64,8,869,3
64,8,927,3
64,8,1319,3
64,8,984,3
64,8,1249,3
64,8,1383,3
64,8,2168,3
64,8,898,3
128,4,1425,5
128,4,1290,5
128,4,1490,5
128,4,1747,5
128,4,1063,5
128,4,1476,5
128,4,1890,5
128,4,1548,5
128,4,1213,5
512,32,948,4
512,32,1176,4
512,32,0,4
512,32,1099,4
512,32,1062,4
512,32,1099,4
512,32,1334,4
512,32,1019,4
512,32,1064,4
512,50,941,3
512,50,928,3
512,50,1026,3
512,50,935,3
512,50,976,3
512,50,999,3
512,50,877,3
512,50,1020,3
512,50,870,3
512,16,1247,5
512,16,1033,5
512,16,1477,5
512,16,1341,5
512,16,1183,5
512,16,1163,5
512,16,1019,5
512,16,1020,5
512,16,1093,5
32,8,1148,2
32,8,1226,2
32,8,784,2
32,8,898,2
32,8,1262,2
32,8,869,2
32,8,784,2
32,8,799,2
32,8,948,2
256,32,854,3
256,32,835,3
256,32,1298,3
256,32,984,3
256,32,884,3
256,32,842,3
256,32,827,3
256,32,827,3
256,32,1055,3
128,8,1824,4
128,8,977,4
128,8,1098,4
128,8,869,4
128,8,1148,4
128,8,2881,4
128,8,1249,4
128,8,1047,4
128,8,1355,4
256,4,1875,6
256,4,1576,6
256,4,1484,6
256,4,1898,6
256,4,1403,6
256,4,2182,6
256,4,1506,6
256,4,1274,6
256,4,1526,6
128,32,828,2
128,32,812,2
128,32,799,2
128,32,812,2
128,32,827,2
128,32,1110,2
128,32,780,2
128,32,770,2
128,32,806,2
256,16,998,4
256,16,934,4
256,16,934,4
256,16,1391,4
256,16,1048,4
256,16,1248,4
256,16,1057,4
256,16,983,4
256,16,984,4
64,16,749,2
64,16,776,2
64,16,778,2
64,16,798,2
64,16,742,2
64,16,798,2
64,16,734,2
64,16,849,2
64,16,1228,2
32,16,627,2
32,16,828,2
32,16,634,2
32,16,656,2
32,16,657,2
32,16,634,2
32,16,592,2
32,16,877,2
32,16,770,2
512,4,1777,7
512,4,1454,7
512,4,1212,7
512,4,1561,7
512,4,1283,7
512,4,2040,7
512,4,1755,7
512,4,2190,7
512,4,1198,7
