A,W,MT,ID
16,2,2317,3
16,2,1206,3
16,2,1269,3
16,2,2061,3
16,2,1863,3
32,2,1498,4
32,2,1470,4
32,2,1697,4
32,2,1162,4
32,2,1803,4
16,4,1085,2
16,4,1468,2
16,4,927,2
16,4,1006,2
16,4,2432,2
64,2,1720,5
64,2,1255,5
64,2,1832,5
64,2,1539,5
64,2,1877,5
64,1,1933,6
64,1,1405,6
64,1,1405,6
64,1,1541,6
64,1,1612,6
64,4,2011,4
64,4,1163,4
64,4,2659,4
64,4,1177,4
64,4,1583,4
16,1,1839,4
16,1,1427,4
16,1,1561,4
16,1,1576,4
16,1,1247,4
32,4,1926,3
32,4,1076,3
32,4,1078,3
32,4,2090,3
32,4,1448,3
32,1,1697,5
32,1,1348,5
32,1,1405,5
32,1,1455,5
32,1,1890,5
