A,W,MT,ID
512,32,1290,4
512,32,1190,4
512,32,841,4
512,32,1240,4
512,32,856,4
512,32,2317,4
512,32,920,4
512,32,890,4
512,32,848,4
512,64,828,3
512,64,1123,3
512,64,688,3
512,64,784,3
512,64,785,3
512,64,763,3
512,64,1099,3
512,64,890,3
512,64,1084,3
256,32,883,3
256,32,827,3
256,32,757,3
256,32,762,3
256,32,892,3
256,32,1104,3
256,32,864,3
256,32,927,3
256,32,814,3
128,64,934,2
128,64,564,2
128,64,548,2
128,64,514,2
128,64,506,2
128,64,483,2
128,64,528,2
128,64,485,2
128,64,498,2
256,16,877,4
256,16,1041,4
256,16,820,4
256,16,985,4
256,16,1155,4
256,16,864,4
256,16,798,4
256,16,855,4
256,16,899,4
512,16,1077,5
512,16,1055,5
512,16,1056,5
512,16,1204,5
512,16,948,5
512,16,1084,5
512,16,1298,5
512,16,1169,5
512,16,1390,5
256,64,835,2
256,64,961,2
256,64,914,2
256,64,806,2
256,64,777,2
256,64,770,2
256,64,706,2
256,64,684,2
256,64,699,2
128,32,820,2
128,32,706,2
128,32,784,2
128,32,670,2
128,32,670,2
128,32,708,2
128,32,648,2
128,32,827,2
128,32,477,2
128,16,769,3
128,16,1105,3
128,16,941,3
128,16,912,3
128,16,870,3
128,16,920,3
128,16,778,3
128,16,912,3
128,16,1198,3
512,64,1097,3
512,64,834,3
512,64,933,3
512,64,785,3
512,64,1518,3
512,64,828,3
512,64,777,3
512,64,969,3
512,64,969,3
128,32,1100,2
128,32,940,2
128,32,699,2
128,32,806,2
128,32,649,2
128,32,720,2
128,32,656,2
128,32,669,2
128,32,607,2
512,16,2131,5
512,16,2438,5
512,16,1647,5
512,16,1333,5
512,16,1464,5
512,16,1382,5
512,16,991,5
512,16,1355,5
512,16,1611,5
128,64,591,2
128,64,635,2
128,64,599,2
128,64,614,2
128,64,577,2
128,64,670,2
128,64,628,2
128,64,677,2
128,64,679,2
256,32,1055,3
256,32,1206,3
256,32,1190,3
256,32,999,3
256,32,985,3
256,32,1182,3
256,32,921,3
256,32,1140,3
256,32,927,3
512,32,1284,4
512,32,1026,4
512,32,1149,4
512,32,1084,4
512,32,1233,4
512,32,1020,4
512,32,1120,4
512,32,1319,4
512,32,1212,4
128,16,1105,3
128,16,1056,3
128,16,1019,3
128,16,885,3
128,16,1283,3
128,16,942,3
128,16,1055,3
128,16,1041,3
128,16,1077,3
256,64,877,2
256,64,670,2
256,64,757,2
256,64,776,2
256,64,756,2
256,64,749,2
256,64,692,2
256,64,563,2
256,64,999,2
256,16,1098,4
256,16,1219,4
256,16,1399,4
256,16,1240,4
256,16,1262,4
256,16,1099,4
256,16,1170,4
256,16,1733,4
256,16,2140,4
128,16,1011,3
128,16,920,3
128,16,1013,3
128,16,1504,3
128,16,1834,3
128,16,1362,3
128,16,1163,3
128,16,1240,3
128,16,1084,3
512,32,1333,4
512,32,1632,4
512,32,1269,4
512,32,1548,4
512,32,1134,4
512,32,1283,4
512,32,1305,4
512,32,1698,4
512,32,1218,4
512,16,1376,5
512,16,2696,5
512,16,2053,5
512,16,2326,5
512,16,2156,5
512,16,2123,5
512,16,2154,5
512,16,2110,5
512,16,2011,5
256,64,1884,2
256,64,1568,2
256,64,1206,2
256,64,1910,2
256,64,1026,2
256,64,1042,2
256,64,1041,2
256,64,1048,2
256,64,1127,2
128,64,864,2
128,64,984,2
128,64,800,2
128,64,839,2
128,64,835,2
128,64,806,2
128,64,805,2
128,64,756,2
128,64,792,2
256,32,1063,3
256,32,1533,3
256,32,1270,3
256,32,1119,3
256,32,1212,3
256,32,1191,3
256,32,999,3
256,32,1012,3
256,32,1547,3
128,32,1433,2
128,32,2411,2
128,32,1076,2
128,32,1601,2
128,32,1016,2
128,32,1562,2
128,32,1227,2
128,32,1233,2
128,32,3367,2
512,64,1411,3
512,64,1212,3
512,64,1269,3
512,64,1076,3
512,64,1697,3
512,64,1119,3
512,64,1227,3
512,64,1126,3
512,64,1112,3
256,16,3964,4
256,16,1662,4
256,16,1178,4
256,16,1218,4
256,16,1312,4
256,16,992,4
256,16,1033,4
256,16,1925,4
256,16,1741,4
